order_id,customer_id,order_date,order_value,delivery_days,order_hour,is_weekend,account_age_days_at_order,hist_orders_before,hist_return_rate_before,hist_abusive_return_rate_before,hist_chargebacks_before,price_vs_category_avg,days_to_return,category_accessories,category_apparel,category_beauty,category_electronics,category_footwear,category_home,category_mobile,payment_method_COD,payment_method_UPI,payment_method_card,payment_method_wallet,return_reason_changed_mind,return_reason_damaged,return_reason_no_longer_needed,return_reason_not_as_described,return_reason_size_issue,return_reason_wrong_item,is_abusive_return
ORD30028d6a4c,CUST101889,2025-01-01,8705.35,7,11,0,212,0,0.0,0.0,0,1.339,1.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
ORDbf47adac2d,CUST101051,2025-01-01,1058.13,1,11,0,1134,0,0.0,0.0,0,0.756,3.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0
ORDb1d6edfc58,CUST103942,2025-01-01,1253.39,5,21,0,0,0,0.0,0.0,0,1.393,2.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0
ORD25755b9e43,CUST102989,2025-01-01,7003.13,6,0,0,983,0,0.0,0.0,0,1.077,13.0,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0
ORDf5dbce50cb,CUST100404,2025-01-01,4151.81,1,4,0,103,0,0.0,0.0,0,1.887,24.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
ORD8fa0ba7047,CUST105504,2025-01-01,2506.43,2,12,0,841,0,0.0,0.0,0,1.139,30.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,0
ORD2425e05f56,CUST101386,2025-01-01,1680.73,4,21,0,959,0,0.0,0.0,0,1.867,11.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0
ORDa68474fbbd,CUST103578,2025-01-01,3994.7,4,3,0,1111,0,0.0,0.0,0,0.615,21.0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0
ORDecbbab1110,CUST103109,2025-01-01,1816.68,1,4,0,661,0,0.0,0.0,0,0.826,24.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,1
ORD46a05f812d,CUST104235,2025-01-01,1801.09,3,9,0,138,0,0.0,0.0,0,2.001,4.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0
ORD0a56df5a25,CUST100715,2025-01-01,2490.03,3,8,0,1049,0,0.0,0.0,0,1.132,9.0,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0
ORD2e9d3fbb69,CUST105292,2025-01-01,1776.23,5,9,0,588,0,0.0,0.0,0,1.269,15.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0
ORDc25fc7af79,CUST105505,2025-01-01,1463.3,5,19,0,819,0,0.0,0.0,0,1.626,3.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0
ORD938fd9972c,CUST100153,2025-01-01,2917.07,4,3,0,575,0,0.0,0.0,0,1.326,15.0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,0
ORD7d11fcd3bd,CUST102892,2025-01-01,4710.78,1,9,0,771,0,0.0,0.0,0,2.141,15.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,0
ORD564018daaa,CUST101907,2025-01-01,1994.4,7,6,0,584,0,0.0,0.0,0,0.907,10.0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,0
